Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Aaron Fernando Gonzalez Cordova,"Gonzalez Cordova,Aaron Fernando",3,0.0,CIAD,4,1 de 3,0,"Hermosillo, MX",2018 - 2021,2018,2021,22.0,HOMBRE,LICENCIATURA COMO INGENIERO BIOQUÍMICO EN APROVECHAMIENTO DE RECURSOS ACUÁTICOS,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,2347305,1996.0,MAESTRÍA EN CIENCIAS,CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO,4670810,2005,DOCTORADO EN CIENCIAS EN ALIMENTOS,INSTITUTO TECNOLÓGICO DE VERACRUZ,9374994,2015,1.0,CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO,PROFESOR INVESTIGADOR TITULAR,Mexicana
Abraham Duenas De La Cruz,"Duenas De La Cruz,Abraham",3,7.0,Intel Corporation,8,0,0,"Tlajomulco, MX",2020 - 2022,2020,2022,18.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN ELECTRÓNICA Y COMUNICACIONES,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,0.0,3714480,2002.0,,,,,,,,,0.0,Intel Corporation,,Mexicana
Abraham Gomez Lopez,"Gomez Lopez,Abraham",3,45.0,LOUISVILLE LADDER INC,2,0,2 de 2,"San Mateo del Mar, MX",2009 - 2011,2009,2011,,Hombre,,,,,,,,,,,,,,,LOUISVILLE LADDER INC,,
Adma Elena Faraon Chaul Huerta,"Faraon Chaul Huerta,Adma Elena",3,37.0,Individual,,,,"Villa de Cos, MX",2012 - 2014,2012,2014,29.0,MUJER,LICENCIATURA EN ADMINISTRACIÓN DE EMPRESAS,UNIVERSIDAD IBEROAMERICANA,0.0,839331,1983.0,,,,,,,,,0.0,ADELMAR INTRNATIONAL,GERENTE,Mexicana
Adrian Enrique Macouzet Diaz Leal,"Macouzet Diaz Leal,Adrian Enrique",3,0.0,Vitro SAB de CV,2,0,0,"Tlalnepantla, MX",2020 - 2023,2020,2023,14.0,HOMBRE,LICENCIATURA EN INGENIERÍA INDUSTRIAL,INSTITUTO TECNOLÓGICO DE TLALNEPANTLA (I.T.R.),1.0,4977751,2006.0,MAESTRÍA EN DIRECCIÓN DE PROYECTOS,UNIVERSIDAD TECNOLÓGICA DE MÉXICO,13501528,2023,,,,,1.0,,,Mexicana
Adriana de Jesus Aguirre Gutierrez,"Aguirre Gutierrez,Adriana de Jesus",3,1.0,IMP,8,,,"Mexico City, MX",2016 - 2017,2016,2017,20.0,MUJER,LICENCIATURA EN INGENIERÍA QUÍMICA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,2308891,1996.0,MAESTRÍA EN CIENCIAS QUÍMICAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,2749590,1998,,,,,1.0,,,Mexicana
Alan Armando GARCIA GONZALEZ,"GARCIA GONZALEZ,Alan Armando",3,4.0,CommScope Technologies LLC,18,,,"Chihuahua, MX",2022 - 2024,2022,2024,8.0,HOMBRE,LICENCIATURA EN INGENIERÍA EN MECATRÓNICA,UNIVERSIDAD AUTÓNOMA DE CIUDAD JUÁREZ,1.0,8603884,2014.0,,,,,,,,,0.0,,,Mexicana
Alan Federico Camacho Velazquez,"Camacho Velazquez,Alan Federico",3,6.0,MABE S.A. DE C.V.,3,,,"Querétaro, MX",2014 - 2017,2014,2017,,Hombre,,,,,,,,,,,,,,,,,
Alberto Checa Rojas,"Checa Rojas,Alberto",3,0.0,"TIMSER, S.A.P.I. DE C.V.",2,0,,"Ticumán, MX",2021 - 2023,2021,2023,3.0,HOMBRE,LICENCIATURA EN BIOLOGÍA ,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,1.0,11042481,2018.0,,,,,DOCTORADO EN CIENCIAS,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO ,12050237,2020,1.0,,,Mexicana
Alberto Montoya,"Montoya,Alberto",3,29.0,"Iddea California, LLC",3,0,,"Zapopan, MX",2013 - 2018,2013,2018,,Hombre,,,,,,,,,,,,,,,,,
