Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Rick A Hamilton II,"Hamilton, II,Rick A",1066,,,,,,"Charlottesville, US",1999-2024,1999,2024,,,,,,,,,,,,,,,,,,,
Stuart C Salter,"Salter,Stuart C",737,,,,,,"White Lake, US",1990-2024,1990,2024,,,,,,,,,,,,,,,,,,,
Gregory J Boss,"Boss,Gregory J",608,,,,,,"Saginaw, US",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Brian M OConnell,"O'Connell,Brian M",496,,,,,,"Cary, US",2009-2023,2009,2023,,,,,,,,,,,,,,,,,,,
Paul Kenneth Dellock,"Dellock,Paul Kenneth",488,,,,,,"Northville, US",2002-2024,2002,2024,,,,,,,,,,,,,,,,,,,
Jun Liu,"Liu,Jun",480,,,,,,"San Diego, US",1997-2024,1997,2024,,,,,,,,,,,,,,,,,,,
James R Kozloski,"Kozloski,James R",431,,,,,,"New Fairfield, US",2007-2024,2007,2024,,,,,,,,,,,,,,,,,,,
Muhammad Nazmul Islam,"Islam,Muhammad Nazmul",416,,,,,,"Littleton, US",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Johnathan Andrew Line,"Line,Johnathan Andrew",386,,,,,,"Northville, US",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
Kulvir S Bhogal,"Bhogal,Kulvir S",356,,,,,,"Fort Worth, US",2003-2023,2003,2023,,,,,,,,,,,,,,,,,,,
Daniel J Winarski,"Winarski,Daniel J",354,,,,,,"Tucson, US",1982-2022,1982,2022,,,,,,,,,,,,,,,,,,,
Aaron K Baughman,"Baughman,Aaron K",348,,,,,,"Silver Spring, US",2011-2024,2011,2024,,,,,,,,,,,,,,,,,,,
David C Reed,"Reed,David C",329,,,,,,"Tucson, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Satoshi Takahashi,"Takahashi,Satoshi",291,,,,,,"Tochigi, JP",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Norman R Byrne,"Byrne,Norman R",288,,,,,,"Ada, US",1984-2023,1984,2023,,,,,,,,,,,,,,,,,,,
Sang Hyun Lee,"Lee,Sang Hyun",277,,,,,,"Seoul, KR",1994-2024,1994,2024,,,,,,,,,,,,,,,,,,,
John C Crawford,"Crawford,John C",265,,,,,,"Mahopac, US",1987-2021,1987,2021,,,,,,,,,,,,,,,,,,,
Mark Robert Sivik,"Sivik,Mark Robert",265,,,,,,"Stanton, US",1995-2024,1995,2024,,,,,,,,,,,,,,,,,,,
Gandhi Sivakumar,"Sivakumar,Gandhi",250,,,,,,"Elmore, AU",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Chandra S Namuduri,"Namuduri,Chandra S",249,,,,,,"Troy, US",1993-2024,1993,2024,,,,,,,,,,,,,,,,,,,
Max D Smith,"Smith,Max D",242,,,,,,"Tucson, US",2005-2023,2005,2023,,,,,,,,,,,,,,,,,,,
Steven J Simske,"Simske,Steven J",240,,,,,,"Fort Collins, US",2000-2023,2000,2023,,,,,,,,,,,,,,,,,,,
Robert A Stevenson,"Stevenson,Robert A",239,,,,,,"Santa Clarita, US",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Erick Michael Lavoie,"Lavoie,Erick Michael",231,,,,,,"Dearborn, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
John E Moore Jr,"Moore, Jr,John E",230,,,,,,"Pflugerville, US",1980-2024,1980,2024,,,,,,,,,,,,,,,,,,,
James W Seaman,"Seaman,James W",229,,,,,,"Falls Church, US",2005-2023,2005,2023,,,,,,,,,,,,,,,,,,,
Glen J Anderson,"Anderson,Glen J",223,,,,,,"Beaverton, US",2000-2024,2000,2024,,,,,,,,,,,,,,,,,,,
David Brian Glickman,"Glickman,David Brian",222,,,,,,"Southfield, US",2002-2024,2002,2024,,,,,,,,,,,,,,,,,,,
Christine A Frysz,"Frysz,Christine A",221,,,,,,"Orchard Park, US",1992-2024,1992,2024,,,,,,,,,,,,,,,,,,,
Arvind Kumar,"Kumar,Arvind",219,,,,,,"Beaverton, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Yang Yang,"Yang,Yang",219,,,,,,"Nanhu, CN",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
James Phillip Luther,"Luther,James Phillip",216,,,,,,"Hickory, US",1992-2020,1992,2020,,,,,,,,,,,,,,,,,,,
Itzhack Goldberg,"Goldberg,Itzhack",213,,,,,,"Hadera, IL",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Maja Vukovic,"Vukovic,Maja",208,,,,,,"New York, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Qian Zhang,"Zhang,Qian",189,,,,,,"Mexico City, MX",2004-2024,2004,2024,,,,,,,,,,,,,,,,,,,
Mario Rosario Carlone Jr,"Carlone, Jr,Mario Rosario",188,,,,,,"Princeton, US",1997-2023,1997,2023,,,,,,,,,,,,,,,,,,,
Mahmoud Yousef Ghannam,"Ghannam,Mahmoud Yousef",185,,,,,,"Canton, US",2009-2024,2009,2024,,,,,,,,,,,,,,,,,,,
Peeyush Jaiswal,"Jaiswal,Peeyush",183,,,,,,"Boca Raton, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Takeshi Hoshida,"Hoshida,Takeshi",182,,,,,,"Tokyo, JP",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Kshitij A Doshi,"Doshi,Kshitij A",179,,,,,,"Tempe, US",1997-2024,1997,2024,,,,,,,,,,,,,,,,,,,
James N Ludwig,"Ludwig,James N",174,,,,,,"Grand Rapids, US",2001-2023,2001,2023,,,,,,,,,,,,,,,,,,,
David O Meyers,"Meyers,David O",170,,,,,,"Kaysville, US",1999-2024,1999,2024,,,,,,,,,,,,,,,,,,,
Michael D Laufer,"Laufer,Michael D",170,,,,,,"Menlo Park, US",1997-2024,1997,2024,,,,,,,,,,,,,,,,,,,
Gregory T Kishi,"Kishi,Gregory T",169,,,,,,"Oro Valley, US",1993-2024,1993,2024,,,,,,,,,,,,,,,,,,,
Tong Zhou,"Zhou,Tong",169,,,,,,"Merrick, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Wolfgang Fischer,"Fischer,Wolfgang",169,,,,,,"Meerbusch, DE",1976-2023,1976,2023,,,,,,,,,,,,,,,,,,,
Terry R Colbert,"Colbert,Terry R",168,,,,,,"Dyersburg, US",2000-2023,2000,2023,,,,,,,,,,,,,,,,,,,
Siddhartha Chhabra,"Chhabra,Siddhartha",167,,,,,,"Hillsboro, US",2014-2024,2014,2024,,,,,,,,,,,,,,,,,,,
Alexander Reznik,"Reznik,Alexander",166,,,,,,"Pennington, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Bruce M Smith,"Smith,Bruce M",164,,,,,,"Grand Rapids, US",1982-2023,1982,2023,,,,,,,,,,,,,,,,,,,
Marvin L Boerboom,"Boerboom,Marvin L",161,,,,,,"Olivia, US",1999-2024,1999,2024,,,,,,,,,,,,,,,,,,,
Douglas Sutton,"Sutton,Douglas",160,,,,,,"Pacifica, US",1999-2024,1999,2024,,,,,,,,,,,,,,,,,,,
Eugene de Juan Jr,"de Juan, Jr,Eugene",153,,,,,,"San Francisco, US",1991-2024,1991,2024,,,,,,,,,,,,,,,,,,,
Maharaj Mukherjee,"Mukherjee,Maharaj",151,,,,,,"Poughkeepsie, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Katsuhiko Hayashi,"Hayashi,Katsuhiko",150,,,,,,"Nagano, JP",1976-2023,1976,2023,,,,,,,,,,,,,,,,,,,
Thomas A Howell,"Howell,Thomas A",149,,,,,,"Palo Alto, US",1986-2024,1986,2024,,,,,,,,,,,,,,,,,,,
Larry S Eoff,"Eoff,Larry S",146,,,,,,"Porter, US",1993-2024,1993,2024,,,,,,,,,,,,,,,,,,,
Stephen Michael Greci,"Greci,Stephen Michael",146,,,,,,"Little Elm, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Kevin I Bertness,"Bertness,Kevin I",145,,,,,,"Batavia, US",1981-2024,1981,2024,,,,,,,,,,,,,,,,,,,
Mauro Marzorati,"Marzorati,Mauro",145,,,,,,"Lutz, US",2012-2024,2012,2024,,,,,,,,,,,,,,,,,,,
Michael L Jones,"Jones,Michael L",141,,,,,,"San Clemente, US",1977-2023,1977,2023,,,,,,,,,,,,,,,,,,,
Jonathan Sullivan,"Sullivan,Jonathan",140,,,,,,"Hurricane, US",1998-2024,1998,2024,,,,,,,,,,,,,,,,,,,
Kazuya Matsumoto,"Matsumoto,Kazuya",138,,,,,,"Aki, JP",1976-2024,1976,2024,,,,,,,,,,,,,,,,,,,
Cary J Reich,"Reich,Cary J",137,,,,,,"Los Gatos, US",1988-2024,1988,2024,,,,,,,,,,,,,,,,,,,
Robert E Stewart,"Stewart,Robert E",137,,,,,,"Farmington Hills, US",1977-2023,1977,2023,,,,,,,,,,,,,,,,,,,
Akira Okamoto,"Okamoto,Akira",135,,,,,,"Hatsukaichi, JP",1977-2023,1977,2023,,,,,,,,,,,,,,,,,,,
George D Hermann,"Hermann,George D",135,,,,,,"Portola Valley, US",1986-2023,1986,2023,,,,,,,,,,,,,,,,,,,
William J Allen,"Allen,William J",134,,,,,,"Corvallis, US",1989-2023,1989,2023,,,,,,,,,,,,,,,,,,,
David N Franklin,"N Franklin,David",133,2948.0,"NIKE, Inc.",29,0,3,"Tabí, MX",2000 - 2024,2000,2024,,HOMBRE,,,,,,,,,,,,,,,,,Estadounidense
Joseph C Coffey,"Coffey,Joseph C",132,,,,,,"Burnsville, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Songnan Yang,"Yang,Songnan",130,,,,,,"San Jose, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
Matthias Witschel,"Witschel,Matthias",129,,,,,,"Bad Dürkheim, DE",2000-2024,2000,2024,,,,,,,,,,,,,,,,,,,
Nitin Kumar,"Kumar,Nitin",129,,,,,,"Burlington, US",2009-2024,2009,2024,,,,,,,,,,,,,,,,,,,
Dany Sylvain,"Sylvain,Dany",128,,,,,,"Gatineau, CA",1988-2021,1988,2021,,,,,,,,,,,,,,,,,,,
Daniel Yellin,"Yellin,Daniel",127,,,,,,"Raanana, IL",1996-2024,1996,2024,,,,,,,,,,,,,,,,,,,
Yuk L Chan,"Chan,Yuk L",127,,,,,,"Rochester, US",2010-2024,2010,2024,,,,,,,,,,,,,,,,,,,
John L Maida,"Maida,John L",126,,,,,,"Houston, US",1991-2024,1991,2024,,,,,,,,,,,,,,,,,,,
James J Solheid,"Solheid,James J",124,,,,,,"Lakeville, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
Vladek Kasperchik,"Kasperchik,Vladek",124,,,,,,"Corvallis, US",2000-2024,2000,2024,,,,,,,,,,,,,,,,,,,
Seth E Bixby,"Bixby,Seth E",123,,,,,,"Stevensville, US",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Thomas J Hayes,"Hayes,Thomas J",123,,,,,,"Lakewood, US",1979-2024,1979,2024,,,,,,,,,,,,,,,,,,,
Scott A Caputo,"Caputo,Scott A",122,,,,,,"Santa Clara, US",2001-2024,2001,2024,,,,,,,,,,,,,,,,,,,
Chunxuan Ye,"Ye,Chunxuan",121,,,,,,"San Diego, US",2011-2024,2011,2024,,,,,,,,,,,,,,,,,,,
Kiat Cheong Toh,"Toh,Kiat Cheong",120,,,,,,"Elmont, US",1998-2022,1998,2022,,,,,,,,,,,,,,,,,,,
Sergio Orozco,"Orozco,Sergio",120,,,,,,"Anáhuac, MX",1992-2022,1992,2022,,,,,,,,,,,,,,,,,,,
Fred H Burbank,"Burbank,Fred H",119,,,,,,"Laguna Niguel, US",1981-2019,1981,2019,,,,,,,,,,,,,,,,,,,
Prabhakar R Chitrapu,"Chitrapu,Prabhakar R",119,,,,,,"Blue Bell, US",1995-2023,1995,2023,,,,,,,,,,,,,,,,,,,
Ryan W Cuddy,"Cuddy,Ryan W",119,,,,,,"Reno, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
R Jay Warner,"Warner,R Jay",118,,,,,,"Port Aransas, US",1994-2016,1994,2016,,,,,,,,,,,,,,,,,,,
Swaminathan Balasubramanian,"Balasubramanian,Swaminathan",118,,,,,,"Troy, US",2010-2023,2010,2023,,,,,,,,,,,,,,,,,,,
Brian Clark,"Clark,Brian",117,,,,,,"Sugar Land, US",1985-2019,1985,2019,,,,,,,,,,,,,,,,,,,
Jesse Clay Satterfield,"Satterfield,Jesse Clay",117,,,,,,"Seattle, US",2007-2023,2007,2023,,,,,,,,,,,,,,,,,,,
Chung Hui Chen,"Chen,Chung Hui",116,,,,,,"New Taipei, TW",2002-2024,2002,2024,,,,,,,,,,,,,,,,,,,
Matthew Holmberg,"Holmberg,Matthew",116,,,,,,"Le Center, US",2003-2024,2003,2024,,,,,,,,,,,,,,,,,,,
David J Emmons,"Emmons,David J",115,,,,,,"Plymouth, US",1987-2024,1987,2024,,,,,,,,,,,,,,,,,,,
