Inventor,NOMBRE_INVENTOR,Patents,Cites,Asignee Inst,Número de coinventores,Co inventoras mujeres,Coinventores extranjeros,Location,years active,año de inicio,última patente,Inicio de patentamiento-obtención de cédula,Género,Grado académico LICENCIATURA,Institución que otorgó el grado LICENCIATURA,INSTITUCIÓN Pública= 1; Privada= 0,# cédula profesional LICENCIATURA,Año de expedición de cedula profesional  LICENCIATURA,Grado académico MAESTRÍA,Institución que otorgó el grado MAESTRÍA,# cédula profesional MAESTRÍA,Año de expedición de cedula profesional  MAESTRÍA,Grado académico DOCTORADO,Institución que otorgó el grado DOCTORADO,# cédula profesional DOCTORADO,Año de expedición de cedula profesional  DOCTORADO,Posgrado SI= 1 NO= 0,Empleo actual,Puesto,Nacionalidad
Jose Juan Valadez Lopez,"Valadez Lopez,Jose Juan",1,,,,,,"Monterrey, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Miguel Jorge ZUBIRIA ELIZONDO,"ZUBIRIA ELIZONDO,Miguel Jorge",1,,,,,,"Monterrey, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Rezaul Choudhury,"Choudhury,Rezaul",3,,,,,,"Sterling Heights, US",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Ohster Edga Zapata Abdala,"Zapata Abdala,Ohster Edga",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Verona Medina Valencia,"Medina Valencia,Verona",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Pamela Shantal Ramirez Sosa,"Ramirez Sosa,Pamela Shantal",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Bertha Moran Delgado,"Moran Delgado,Bertha",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Alfredo Escobar Lopez,"Escobar Lopez,Alfredo",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jose Gabriel Quintero Barajas,"Quintero Barajas,Jose Gabriel",1,,,,,,"Altamira, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Arturo Bulbarela Croda,"Bulbarela Croda,Arturo",1,,,,,,"Cosoleacaque, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Miguel Angel Vazquez Guevara,"Vazquez Guevara,Miguel Angel",2,,,,,,"Xico, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Fabiola Irene Lopez Vallejo,"Lopez Vallejo,Fabiola Irene",3,,,,,,"Xico, MX",2014-2018,2014,2018,,,,,,,,,,,,,,,,,,,
Jose Manuel Dominguez Esquivel,"Dominguez Esquivel,Jose Manuel",10,,,,,,"Xico, MX",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Alma Delia Miranda Olvera,"Miranda Olvera,Alma Delia",2,,,,,,"Xico, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Jesus Alfonso Alarcon Hernandez,"Alarcon Hernandez,Jesus Alfonso",4,,,,,,"Toluca, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Donald M Perkins,"Perkins,Donald M",51,,,,,,"Sterling Heights, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Alfredo Martinez,"Martinez,Alfredo",16,,,,,,"Chihuahua, MX",2001-2022,2001,2022,,,,,,,,,,,,,,,,,,,
Francisco Javier Vazquez,"Vazquez,Francisco Javier",12,,,,,,"Chihuahua, MX",2013-2022,2013,2022,,,,,,,,,,,,,,,,,,,
Tara Astigarraga,"Astigarraga,Tara",86,,,,,,"Fairport, US",2008-2023,2008,2023,,,,,,,,,,,,,,,,,,,
Neil Sondhi,"Sondhi,Neil",94,,,,,,"Pilisborosjen?, HU",2015-2021,2015,2021,,,,,,,,,,,,,,,,,,,
Itzhack Goldberg,"Goldberg,Itzhack",213,,,,,,"Hadera, IL",2008-2024,2008,2024,,,,,,,,,,,,,,,,,,,
Jose R Mosqueda Mejia,"Mosqueda Mejia,Jose R",34,,,,,,"Puruándiro, MX",2017-2022,2017,2022,,,,,,,,,,,,,,,,,,,
Carlos Torres Gomez,"Torres Gomez,Carlos",2,,,,,,"Monterrey, MX",2003-2018,2003,2018,,,,,,,,,,,,,,,,,,,
Jose Odon Torres Quiroga,"Torres Quiroga,Jose Odon",6,,,,,,"Monterrey, MX",1996-2018,1996,2018,,,,,,,,,,,,,,,,,,,
Adrian Romero Regalado,"Romero Regalado,Adrian",10,,,,,,"Cuautitlán Izcalli, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Steven Sic,"Sic,Steven",5,,,,,,"Troy, US",2009-2023,2009,2023,,,,,,,,,,,,,,,,,,,
Alejandro Cortina Cordero,"Cordero,Alejandro Cortina",1,,,,,,"Xico, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jose Cordero,"Cordero,Jose",4,,,,,,"Xico, MX",1977-2018,1977,2018,,,,,,,,,,,,,,,,,,,
Jose Pablo Cortina Ortega,"Ortega,Jose Pablo Cortina",1,,,,,,"Xico, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Humberto Moreno,"Moreno,Humberto",6,,,,,,"Querétaro, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Luis Alberto Aguado Mandujano,"Mandujano,Luis Alberto Aguado",1,,,,,,"Querétaro, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Juan Leonardo Soria Ramirez,"Ramirez,Juan Leonardo Soria",1,,,,,,"Querétaro, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Ismael Orozco Arciga,"Arciga,Ismael Orozco",1,,,,,,"Querétaro, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Zane Yang,"Yang,Zane",11,,,,,,"Troy, US",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Rabah Arhab,"Arhab,Rabah",48,,,,,,"Saint-Brice-sous-Forêt, FR",1987-2022,1987,2022,,,,,,,,,,,,,,,,,,,
Josip Kovac,"Kovac,Josip",8,,,,,,"Northville, US",1991-2018,1991,2018,,,,,,,,,,,,,,,,,,,
Alfonso Medellin,"Medellin,Alfonso",5,,,,,,"Moctezuma, MX",2016-2019,2016,2019,,,,,,,,,,,,,,,,,,,
Sungchul Lee,"Lee,Sungchul",22,,,,,,"Troy, US",1994-2023,1994,2023,,,,,,,,,,,,,,,,,,,
Juan Alberto de Jesus Orozco Perez,"Orozco Perez,Juan Alberto de Jesus",1,,,,,,"Villa de Cos, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Alejandro Gerardo Veyna Hernandez,"Hernandez,Alejandro Gerardo Veyna",1,,,,,,"Tijuana, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Michael Novak,"Novak,Michael",8,,,,,,"Granby, US",1990-2019,1990,2019,,,,,,,,,,,,,,,,,,,
Ronald Ugolick,"Ugolick,Ronald",29,,,,,,"San Dimas, US",1997-2023,1997,2023,,,,,,,,,,,,,,,,,,,
Jerry G Hodsdon,"Hodsdon,Jerry G",39,,,,,,"Mashpee, US",2000-2021,2000,2021,,,,,,,,,,,,,,,,,,,
Le Hoa Hong,"Hong,Le Hoa",29,,,,,,"Temple City, US",2001-2023,2001,2023,,,,,,,,,,,,,,,,,,,
Florence M Brisee,"Brisee,Florence M",2,,,,,,"Cohoes, US",2015-2018,2015,2018,,,,,,,,,,,,,,,,,,,
Gildardo Ramirez Villegas,"Villegas,Gildardo Ramirez",1,,,,,,"Tijuana, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Antonio Juan Ignacio Aguiluz Aceves,"Aguiluz Aceves,Antonio Juan Ignacio",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Patricia Flores Sanchez,"Flores Sanchez,Patricia",2,,,,,,"Mexico City, MX",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Jose Manuel Dominguez Esquivel,"Dominguez Esquivel,Jose Manuel",10,,,,,,"Mexico City, MX",2006-2024,2006,2024,,,,,,,,,,,,,,,,,,,
Jorge Arturo Aburto Anell,"Aburto Anell,Jorge Arturo",7,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
David Huelke,"Huelke,David",40,,,,,,"Milan, US",1999-2021,1999,2021,,,,,,,,,,,,,,,,,,,
Guillermo Alanis,"Alanis,Guillermo",5,,,,,,"Estado de México, MX",2014-2018,2014,2018,,,,,,,,,,,,,,,,,,,
Ramiro Chable Hernandez,"Hernandez,Ramiro Chable",1,,,,,,"Cuautitlán Izcalli, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Mahesh Bhattacharyya,"Bhattacharyya,Mahesh",7,,,,,,"Novi, US",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Diego Fabricio Villacres Mesias,"Villacres Mesias,Diego Fabricio",15,,,,,,"San Mateo Atenco, MX",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Guillermo Cesar Cervantes Guarneros,"Cervantes Guarneros,Guillermo Cesar",3,,,,,,"Atizapán de Zaragoza, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Stuart C Salter,"Salter,Stuart C",737,,,,,,"White Lake, US",1990-2024,1990,2024,,,,,,,,,,,,,,,,,,,
Paul Kenneth Dellock,"Dellock,Paul Kenneth",488,,,,,,"Northville, US",2002-2024,2002,2024,,,,,,,,,,,,,,,,,,,
Luis Adrian Tena Han,"Tena Han,Luis Adrian",4,,,,,,"Tlalnepantla, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Carmen Frida Vargas Garcia,"Vargas Garcia,Carmen Frida",5,,,,,,"Cuautitlán Izcalli, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Emmanuel Garcia Ruiz,"Garcia Ruiz,Emmanuel",4,,,,,,"San Miguel Ajusco, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Sergio Castro,"Castro,Sergio",3,,,,,,"Cuernavaca, MX",2017-2024,2017,2024,,,,,,,,,,,,,,,,,,,
Maria Yolanda Reyes Vidal,"Reyes Vidal,Maria Yolanda",1,,,,,,"Hermosillo, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Ali Asaff Torres,"Asaff Torres,Ali",2,,,,,,"Hermosillo, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Jesus Marin Cruz,"Marin Cruz,Jesus",4,,,,,,"Mexico City, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Arquimedes ESTRADA MARTINEZ,"ESTRADA MARTINEZ,Arquimedes",13,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Araceli Vega Paz,"Vega Paz,Araceli",2,,,,,,"Mexico City, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Luisa Elena Montiel Sanchez,"Montiel Sanchez,Luisa Elena",2,,,,,,"Mexico City, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Rafael Martinez Palou,"Martinez Palou,Rafael",9,,,,,,"Mexico City, MX",2013-2020,2013,2020,,,,,,,,,,,,,,,,,,,
Luis Manuel Quej Ake,"Quej Ake,Luis Manuel",3,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Veronica Sanchez Garcia,"Sanchez Garcia,Veronica",2,,,,,,"Mexico City, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Jose Luis Rodolfo Benitez Aguilar,"Benitez Aguilar,Jose Luis Rodolfo",3,,,,,,"Mexico City, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Salvador Castillo Cervantes,"Castillo Cervantes,Salvador",6,,,,,,"Mexico City, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Humberto Orozco Cervantes,"Orozco Cervantes,Humberto",9,,,,,,"Cabeza de Toro, MX",2016-2024,2016,2024,,,,,,,,,,,,,,,,,,,
Guillermo Hernandez Gonzalez,"Hernandez Gonzalez,Guillermo",1,,,,,,"Coyula, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Paul Llamas Virgen,"Llamas Virgen,Paul",16,,,,,,"Ciudad Juárez, MX",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Shaun E Harrington,"Harrington,Shaun E",55,,,,,,"Tucson, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Emmanuel Barajas Gonzalez,"Barajas Gonzalez,Emmanuel",53,,,,,,"Las Pintitas, MX",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Ben Rawlins,"Rawlins,Ben",1,,,,,,"Tucson, US",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Ricky Tong,"Tong,Ricky",23,,,,,,"Nanhu, CN",2013-2024,2013,2024,,,,,,,,,,,,,,,,,,,
Victor Hugo Ocegueda Gallaga,"Ocegueda Gallaga,Victor Hugo",29,,,,,,"Baja California, MX",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Alan Rafael Belmares,"Belmares,Alan Rafael",1,,,,,,"Aguascalientes, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Toshiyuki Hirota,"Hirota,Toshiyuki",71,,,,,,"Aguascalientes, MX",1994-2022,1994,2022,,,,,,,,,,,,,,,,,,,
Sergio Irving Castro Mercado,"Castro Mercado,Sergio Irving",2,,,,,,"Cuernavaca, MX",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Emmanuel Garcia Ruiz,"Garcia Ruiz,Emmanuel",4,,,,,,"San Miguel Ajusco, MX",2017-2019,2017,2019,,,,,,,,,,,,,,,,,,,
Diego Fabricio Villacres Mesias,"Villacres Mesias,Diego Fabricio",15,,,,,,"Villa de Cos, MX",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Pamela Avendano Arenas,"Avendano Arenas,Pamela",5,,,,,,"Mexico City, MX",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Jesus R Morales,"Morales,Jesus R",13,,,,,,"Chihuahua, MX",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Ryan J Pickens,"Pickens,Ryan J",1,,,,,,"Auburn Hills, US",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Isidro MEJIA CENTENO,"MEJIA CENTENO,Isidro",5,,,,,,"Mexico City, MX",2017-2021,2017,2021,,,,,,,,,,,,,,,,,,,
J Ascension Montoya De La Fuente,"Montoya De La Fuente,J Ascension",2,,,,,,"Mexico City, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Salvador Castillo Cervantes,"Castillo Cervantes,Salvador",6,,,,,,"Mexico City, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Alfredo Vargas Escudero,"Vargas Escudero,Alfredo",2,,,,,,"Mexico City, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Florencia Marina Moran Pineda,"Moran Pineda,Florencia Marina",3,,,,,,"Mexico City, MX",1996-2018,1996,2018,,,,,,,,,,,,,,,,,,,
Roberto Camposeco Solis,"Camposeco Solis,Roberto",4,,,,,,"Mexico City, MX",2017-2020,2017,2020,,,,,,,,,,,,,,,,,,,
Juan Navarrete Bolanos,"Navarrete Bolanos,Juan",3,,,,,,"Mexico City, MX",2017-2022,2017,2022,,,,,,,,,,,,,,,,,,,
Kevin K Miyake,"Miyake,Kevin K",7,,,,,,"Ringwood, US",2011-2023,2011,2023,,,,,,,,,,,,,,,,,,,
Angels Domenech,"Domenech,Angels",5,,,,,,"São Paulo, BR",2014-2020,2014,2020,,,,,,,,,,,,,,,,,,,
Mateus Batista Torres Cipro,"Cipro,Mateus Batista Torres",3,,,,,,"São Paulo, BR",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Juan Carlos Casarrubias,"Casarrubias,Juan Carlos",6,,,,,,"Mexico City, MX",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Marlenne Gomez Ramirez,"Gomez Ramirez,Marlenne",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jorge Arturo Aburto Anell,"Aburto Anell,Jorge Arturo",7,,,,,,"Mexico City, MX",2016-2020,2016,2020,,,,,,,,,,,,,,,,,,,
Roberto Garcia De Leon,"Garcia De Leon,Roberto",2,,,,,,"Mexico City, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Norma Gabriela Rojas Avelizapa,"Rojas Avelizapa,Norma Gabriela",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Regina Hernandez Gama,"Hernandez Gama,Regina",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Francisco Javier Vazquez,"Vazquez,Francisco Javier",12,,,,,,"Chihuahua, MX",2013-2022,2013,2022,,,,,,,,,,,,,,,,,,,
Alfredo Martinez,"Martinez,Alfredo",16,,,,,,"Chihuahua, MX",2001-2022,2001,2022,,,,,,,,,,,,,,,,,,,
Donald M Perkins,"Perkins,Donald M",51,,,,,,"Sterling Heights, US",1999-2023,1999,2023,,,,,,,,,,,,,,,,,,,
Jesus Alejandro Tule,"Tule,Jesus Alejandro",3,,,,,,"Mexicali, MX",2017-2018,2017,2018,,,,,,,,,,,,,,,,,,,
Alejandro Garcia Cabello,"Cabello,Alejandro Garcia",1,,,,,,"Coahuila, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Dennis Garcia Lepez,"Lepez,Dennis Garcia",1,,,,,,"Coahuila, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Cynthia Fraga Hernandez,"Hernandez,Cynthia Fraga",1,,,,,,"Coahuila, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Francisco Antonio Puc Poot,"Puc Poot,Francisco Antonio",1,,,,,,"Miguel Alemán, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Carlos Mucino Ramirez,"Ramirez,Carlos Mucino",2,,,,,,"Abdenago C. García (Lagunitas), MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Gerardo Gomez Soto,"Soto,Gerardo Gomez",5,,,,,,"Tezoyuca, MX",2000-2020,2000,2020,,,,,,,,,,,,,,,,,,,
Josue Saul Rosario Garcia,"Garcia,Josue Saul Rosario",1,,,,,,"Ixtapaluca, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Nelly Adriana Estrada Flores,"Flores,Nelly Adriana Estrada",1,,,,,,"Abdenago C. García (Lagunitas), MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Edmundo Leyva Rios,"Rios,Edmundo Leyva",2,,,,,,"La Paz, MX",2018-2020,2018,2020,,,,,,,,,,,,,,,,,,,
Fidel Nahum Castillo Barcenas,"Castillo Barcenas,Fidel Nahum",1,,,,,,"Temamatla, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Leobardo Stephen Lincoln Strange Zenteno,"Zenteno,Leobardo Stephen Lincoln Strange",3,,,,,,"Gustavo A. Madero, MX",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Hector Munguia Abundis,"Abundis,Hector Munguia",1,,,,,,"Tlalnepantla, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Samuel Nurko Yomtow,"Yomtow,Samuel Nurko",2,,,,,,"Huixquilucan de Degollado, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Marco Polo Leyva Rios,"Leyva Rios,Marco Polo",1,,,,,,"Fracc. Ciudad Olmeca, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Dan Nurko Elliot,"Elliot,Dan Nurko",6,,,,,,"Santiago Yancuitlalpan, MX",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Erick A Rodriguez,"Rodriguez,Erick A",11,,,,,,"Chihuahua, MX",2010-2021,2010,2021,,,,,,,,,,,,,,,,,,,
Michael F Loew,"Loew,Michael F",5,,,,,,"El Paso, US",2012-2019,2012,2019,,,,,,,,,,,,,,,,,,,
Angel Reyes Archundia,"Reyes Archundia,Angel",3,,,,,,"Tijuana, MX",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Martin Castaneda Martinez,"Martinez,Martin Castaneda",5,,,,,,"El Cajon, US",2001-2018,2001,2018,,,,,,,,,,,,,,,,,,,
Andrew Michael Leiner,"Leiner,Andrew Michael",2,,,,,,"Gold Coast, AU",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Earnest DeWayne Tooley,"Tooley,Earnest DeWayne",2,,,,,,"Hudson, US",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Ulises Pardo Arche,"Arche,Ulises Pardo",2,,,,,,"Heroica Caborca, MX",2018-2019,2018,2019,,,,,,,,,,,,,,,,,,,
Alejandro Gomez,"Gomez,Alejandro",4,,,,,,"San Fernando, MX",1993-2018,1993,2018,,,,,,,,,,,,,,,,,,,
Shyiguei Hsu,"Hsu,Shyiguei",11,,,,,,"Roma, US",1991-2023,1991,2023,,,,,,,,,,,,,,,,,,,
Godofredo Vela,"Vela,Godofredo",3,,,,,,"Roma, US",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Alejandro Barrera Torres,"Torres,Alejandro Barrera",1,,,,,,"Metepec, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jesus Edgar Dominguez Cuevas,"Dominguez Cuevas,Jesus Edgar",9,,,,,,"Jiutepec, MX",2013-2022,2013,2022,,,,,,,,,,,,,,,,,,,
Mark Fewell,"Fewell,Mark",3,,,,,,"Riverside, US",2016-2021,2016,2021,,,,,,,,,,,,,,,,,,,
Benjamin Hernandez,"Hernandez,Benjamin",1,,,,,,"Mexicali, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Michael B Faust,"Faust,Michael B",7,,,,,,"Redondo Beach, US",2001-2018,2001,2018,,,,,,,,,,,,,,,,,,,
Marco A Zazueta,"Zazueta,Marco A",1,,,,,,"Mexicali, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
James L Nguyen,"Nguyen,James L",1,,,,,,"Westminster, US",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Sergio Sanchez Garcia,"Sanchez Garcia,Sergio",3,,,,,,"Reynosa, MX",2016-2018,2016,2018,,,,,,,,,,,,,,,,,,,
Adriana Montalvo Urbano,"Montalvo Urbano,Adriana",4,,,,,,"Reynosa, MX",2016-2019,2016,2019,,,,,,,,,,,,,,,,,,,
Jhammel Montes,"Montes,Jhammel",2,,,,,,"Plymouth, US",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Fernando Cruz Solis,"Cruz Solis,Fernando",1,,,,,,"Tlalnepantla, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Hector Amador,"Amador,Hector",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Tania Garcia,"Garcia,Tania",2,,,,,,"Cuautitlán Izcalli, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Florentino Leyte Guerrero,"Leyte Guerrero,Florentino",4,,,,,,"Copoya, MX",2015-2019,2015,2019,,,,,,,,,,,,,,,,,,,
Ubaldo Sadott Pacheco y Alcala,"Sadott Pacheco y Alcala,Ubaldo",2,,,,,,"Copoya, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
David Velazquez Cruz,"Velazquez Cruz,David",1,,,,,,"Copoya, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Galicia Mabel Acosta Garate,"Acosta Garate,Galicia Mabel",1,,,,,,"Copoya, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Allison McInnis,"McInnis,Allison",3,,,,,,"Detroit, US",2018-2024,2018,2024,,,,,,,,,,,,,,,,,,,
Jens Oberender,"Oberender,Jens",4,,,,,,"Westerburg, DE",2018-2022,2018,2022,,,,,,,,,,,,,,,,,,,
Mario Reyes,"Reyes,Mario",3,,,,,,"Chihuahua, MX",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Robert Keller,"Keller,Robert",14,,,,,,"Gaylord, US",2004-2021,2004,2021,,,,,,,,,,,,,,,,,,,
Mark Ryskamp,"Ryskamp,Mark",10,,,,,,"Grosse Pointe Park, US",2018-2023,2018,2023,,,,,,,,,,,,,,,,,,,
Ligor Manushi,"Manushi,Ligor",12,,,,,,"Northville, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Alexander Moore,"Moore,Alexander",6,,,,,,"Ann Arbor, US",2003-2019,2003,2019,,,,,,,,,,,,,,,,,,,
Hiram Avalos,"Avalos,Hiram",7,,,,,,"Detroit, US",2016-2023,2016,2023,,,,,,,,,,,,,,,,,,,
Michael Schoenfeld,"Schoenfeld,Michael",15,,,,,,"Echterdingen, DE",1996-2019,1996,2019,,,,,,,,,,,,,,,,,,,
Irving Meza Ricano,"Meza Ricano,Irving",1,,,,,,"Chihuahua, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Naiki A Reynoso Galvan,"Reynoso Galvan,Naiki A",4,,,,,,"Chihuahua, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Rodrigo Villanueva Ponce,"Villanueva Ponce,Rodrigo",3,,,,,,"Chihuahua, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Mabel Guadalupe Diaz Lopez,"Diaz Lopez,Mabel Guadalupe",1,,,,,,"Nicolás Romero, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Eduardo Diaz Lopez,"Diaz Lopez,Eduardo",1,,,,,,"Nicolás Romero, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Jose Daniel Vargas Cervantes,"Vargas Cervantes,Jose Daniel",1,,,,,,"Nicolás Romero, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Mauricio Acosta Loyola,"Acosta Loyola,Mauricio",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Eduardo Arturo Aguilar Ruelas,"Aguilar Ruelas,Eduardo Arturo",12,,,,,,"Mexico City, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Hector Alberto Mendoza Saldivar,"Mendoza Saldivar,Hector Alberto",5,,,,,,"Cuautitlán Izcalli, MX",2018-2021,2018,2021,,,,,,,,,,,,,,,,,,,
Miriam Quilahztli Perez Astudillo,"Perez Astudillo,Miriam Quilahztli",1,,,,,,"Cuautitlán Izcalli, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Mario Daniel Bautista,"Bautista,Mario Daniel",1,,,,,,"Mexico City, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Gustavo Mejia Perez,"Mejia Perez,Gustavo",2,,,,,,"Matamoros, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Juan Sebastian Munera Medina,"Munera Medina,Juan Sebastian",1,,,,,,"Toluca, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Pedro A Diaz,"Diaz,Pedro A",2,,,,,,"Estado de México, MX",2016-2018,2016,2018,,,,,,,,,,,,,,,,,,,
Ivan Nava,"Nava,Ivan",1,,,,,,"Metepec, MX",2018-2018,2018,2018,,,,,,,,,,,,,,,,,,,
Armando Valdes,"Valdes,Armando",13,,,,,,"Krum, US",2002-2020,2002,2020,,,,,,,,,,,,,,,,,,,
Homero Heredia,"Heredia,Homero",2,,,,,,"Chihuahua, MX",2015-2018,2015,2018,,,,,,,,,,,,,,,,,,,
